XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
             WONB2_3        61.6286       -79.7058         3.8519    0.0406    0.0393    0.0604   0.650        15
           WONB44_B1       491.0615       181.1392        16.7473    0.0558    0.0591    0.1401   0.723         5
            WONB44_1       496.0338       188.1560        16.5210    0.0549    0.0537    0.1095   0.838         7
            WONB44_5       493.0655       169.0643        16.7665    0.0696    0.0636    0.1332   1.085         7
              WONB44       498.0799       176.1635        17.0700    0.0714    0.0670    0.1357   0.591         6
            WONB44_2       503.1425       183.1787        16.7630    0.0725    0.0742    0.1452   0.530         5
          WONB44_B11       495.6415       160.9085        16.6742    0.0550    0.0564    0.1235   0.847         8
          WONB44_B15       503.1335       169.1550        17.3848    0.0715    0.0660    0.1356   0.584         6
            WONB44_3       510.2814       178.3119        17.0393    0.0746    0.0680    0.1496   0.949         5
           WONB19_B6       509.4388       242.2245        17.6275    0.0744    0.0631    0.1251   0.575         6
           WONB19_B1       517.7944       253.4246        18.4324    0.0781    0.0711    0.1705   0.938         4
            WONB19_1       523.8475       259.5432        18.2184    0.0787    0.0707    0.1717   0.682         4
            WONB19_5       517.9919       241.2659        18.1393    0.0785    0.0716    0.1692   0.638         4
          WONB19_B10       516.1367       232.9063        17.7589    0.0762    0.0680    0.1312   0.589         5
              WONB19       523.9756       247.4405        18.8686    0.0781    0.0653    0.1533   1.411         5
            WONB19_2       530.0773       253.5884        18.7872    0.0787    0.0650    0.1540   1.544         5
            WONB19_3       536.1948       247.5325        18.6699    0.0803    0.0707    0.1708   0.754         4
          WONB41_B10       404.0465      -101.3987        12.3822    0.0582    0.0518    0.0841   1.255         9
            WONB41_5       412.6032      -101.9181        12.8486    0.0961    0.0745    0.1088   1.272         7
          WONB41_B14       410.1577      -110.1607        12.9656    0.0921    0.0736    0.1008   1.236         8
              WONB41       419.6858      -107.0204        13.1999    0.0881    0.0686    0.1011   1.489         9
           WONB41_B1       424.5964       -99.9402        13.5352    0.0937    0.0735    0.1013   1.300         8
            WONB41_3       421.6712      -119.0546        13.2668    0.0917    0.0699    0.1088   1.705         8
            WONB41_2       426.6349      -111.9987        13.5323    0.0889    0.0689    0.1013   1.587         9
            WONB41_1       431.6766      -105.2138        13.8187    0.0951    0.0744    0.1015   1.367         8
          WONB21_B12       461.6765        95.1128        15.0386    0.0444    0.0466    0.0895   0.852         9
           WONB21_B6       467.1649       109.0841        15.1404    0.0453    0.0432    0.0807   0.777        11
            WONB21_5       468.2342       100.5983        15.2014    0.0466    0.0480    0.1034   0.645         8
              WONB21       475.5994        96.2015        15.8257    0.0457    0.0454    0.0975   0.621         9
           WONB21_B1       479.9965       103.5389        16.1759    0.0457    0.0454    0.0974   0.606         9
            WONB21_3       478.4654        84.4099        15.9561    0.0457    0.0453    0.0977   0.771         9
            WONB21_2       482.9016        91.7776        16.1817    0.0462    0.0474    0.1036   0.806         8
            WONB21_1       487.3165        99.1216        16.5573    0.0452    0.0441    0.0890   0.945        10
           WONB31_B1       176.4016      -136.6915         7.9742    0.0410    0.0393    0.0580   1.321        14
            WONB31_1       180.5825      -129.2021         7.8667    0.0441    0.0411    0.0615   0.802        12
           WONB31_B8       173.9052      -154.6718         7.9848    0.0529    0.0516    0.0679   0.889        10
            WONB31_5       179.6951      -148.3761         7.9859    0.0488    0.0490    0.0646   0.835        12
              WONB31       183.8762      -140.8282         7.9691    0.0425    0.0417    0.0595   1.076        14
            WONB31_2       188.1157      -133.4495         7.7884    0.0404    0.0380    0.0590   1.301        14
          WONB31_B11       182.9443      -156.2556         7.9177    0.0532    0.0517    0.0680   0.786        10
            WONB31_3       195.5817      -137.5472         7.6264    0.0443    0.0434    0.0605   0.899        13
           WONB14_B5       284.9622       -99.4367         7.6003    0.0501    0.0477    0.0799   0.742        10
            WONB14_5       291.0248      -105.4535         7.7951    0.0498    0.0475    0.0799   0.775        10
           WONB14_B1       294.9571       -93.9445         8.0565    0.0513    0.0484    0.0871   0.644         9
          WONB14_B12       292.1513      -114.0309         7.8562    0.0555    0.0521    0.0831   0.560         8
              WONB14       298.7262      -101.6308         8.1484    0.0503    0.0498    0.0878   0.762         9
            WONB14_1       302.6843       -90.1068         7.5169    0.0497    0.0475    0.0802   0.905        10
            WONB14_2       306.4553       -97.8265         7.7142    0.0494    0.0474    0.0802   0.643        10
            WONB14_3       310.2464      -105.5587         7.6726    0.0492    0.0472    0.0803   0.620        10
           WONB30_B7        92.9308       380.6710         3.5020    0.0391    0.0366    0.0578   0.706        15
            WONB30_5        98.7239       374.2948         3.9366    0.0392    0.0365    0.0602   0.686        15
          WONB30_B15       102.1226       364.9224         4.2417    0.0369    0.0355    0.0564   0.948        17
              WONB30       106.9685       372.0679         4.4136    0.0382    0.0363    0.0571   0.750        16
           WONB30_B1       109.2391       380.3508         4.4088    0.0393    0.0367    0.0577   0.694        15
            WONB30_3       112.9300       361.4738         4.2765    0.0373    0.0359    0.0568   0.869        17
            WONB30_2       115.2467       369.8303         4.4140    0.0384    0.0364    0.0571   0.785        16
            WONB30_1       117.4993       378.1262         4.4861    0.0395    0.0369    0.0577   0.685        15
             WONB1_5       -98.7117       460.6595        -1.5333    0.0718    0.0675    0.1651   1.546         4
            WONB1_B7       -96.2073       468.5661        -1.3796    0.0850    0.0913    0.1280   0.538         4
             WONB1_3      -102.1044       441.8187        -2.1530    0.0645    0.0644    0.1214   1.177         5
               WONB1       -96.3203       452.4334        -1.4080    0.0614    0.0613    0.1014   1.211         6
            WONB1_B4       -90.5787       463.0429        -0.9406    0.0653    0.0651    0.1222   1.496         5
